"Id Producto","Nombre del Producto","Descripción","Categoría","Sub Categoría","Unidad o medida","Imagen","Codificación Estandarizada GTIN (Barcode,ISBN..)","Proveedor","Stock Mínimo","Ubicación en almacen","Notas","Activo","Stockout","Existencias","Costo Promedio","Precio Promedio","Detalle de Movimientos","Organización","Cód Fabrc/Parte","Producto","Label Produto","Label Producto Warning","Fecha de Registro","Registrado por:","Sugerido de Compra","Caja Requerida","Tomas físicas","% Stock de Seguridad","Alerta de Reposición","Alerta de Codigo Duplicado","Alerta de Código duplicado","F. Solicitud","Inventario Meta","S.C.","Código QR","Codigo QR","F. Solicitud de Ficha","Codigo de Barra","Código","Related tbl_toma_fisica_details By code_scan_inner","Related tbl_transaccion_details By code_scan_inner","Existences_check",
"S12-5605010BA","AMORTIGUADOR COMPUERTA MALETA CHERY ARAUCA","AMORTIGUADOR COMPUERTA MALETA CHERY ARAUCA DER/IZQ","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","Stock inicial: 12","Y","N","146","$7.05","$7.05","F9DF1E13 , UNQS0082 , UNQe0082","V123456789 Sano y fresco","S12-5605010BA","","AMORTIGUADOR COMPUERTA MALETA CHERY ARAUCA [S12-5605010BA]","AMORTIGUADOR COMPUERTA MALETA CHERY ARAUCA S12-5605010BA","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=S12-5605010BA&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=S12-5605010BA&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=S12-5605010BA&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=S12-5605010BA&code=Code128","","F9DF1E13 , UNQS0082 , UNQe0082","Y",
"87170-2E020","AMORTIGUADOR COMPUERTA VIDRIO HYUNDAI TUCSON","AMORTIGUADOR COMPUERTA VIDRIO HYUNDAI TUCSON 04=>12 (VA EN EL VIDRIO)","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","Stock inicial: 12","Y","N","220","$5.96","$5.96","unf0020 , UNQS0033 , UNQe0033","V123456789 Sano y fresco","87170-2E020","","AMORTIGUADOR COMPUERTA VIDRIO HYUNDAI TUCSON [87170-2E020]","AMORTIGUADOR COMPUERTA VIDRIO HYUNDAI TUCSON 87170-2E020","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=87170-2E020&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=87170-2E020&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=87170-2E020&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=87170-2E020&code=Code128","","unf0020 , UNQS0033 , UNQe0033","Y",
"81771-2E000","AMORTIGUADOR COMPUERTA MALETA HYUNDAI TUCSON","AMORTIGUADOR COMPUERTA MALETA HYUNDAI TUCSON 04=>12 DER/IZQ","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","7","","Stock inicial: 14","Y","Y","2","$7.60","$7.60","unf0023 , UNQS0036 , UNQe0036","V123456789 Sano y fresco","81771-2E000","Stockout","AMORTIGUADOR COMPUERTA MALETA HYUNDAI TUCSON [81771-2E000]","AMORTIGUADOR COMPUERTA MALETA HYUNDAI TUCSON 81771-2E000","5/21/2024 12:00:00 AM","Administrador","7","$53.20","","25%","N","N","","6/24/2025 2:25:55 PM","9","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=81771-2E000&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=81771-2E000&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=81771-2E000&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=81771-2E000&code=Code128","","unf0023 , UNQS0036 , UNQe0036","Y",
"96548931","AMORTIGUADOR COMPUERTA MALETA CHEVROLET OPTRA HATCHBACK","AMORTIGUADOR COMPUERTA MALETA CHEVROLET OPTRA HATCHBACK DER/IZQ","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","Stock inicial: 20","Y","N","52","$4.33","$4.33","E848B270 , UNQS0011 , UNQe0011","V123456789 Sano y fresco","96548931","","AMORTIGUADOR COMPUERTA MALETA CHEVROLET OPTRA HATCHBACK [96548931]","AMORTIGUADOR COMPUERTA MALETA CHEVROLET OPTRA HATCHBACK 96548931","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=96548931&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96548931&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96548931&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96548931&code=Code128","","E848B270 , UNQS0011 , UNQe0011","Y",
"BC3Z-16C826-B","AMORTIGUADOR CAPOT FORD F250/F350 IZQUIERDO","AMORTIGUADOR CAPOT FORD F250/F350 SUPERDUTY 11=>16 IZQUIERDO LH","Carroceria","Amortiguadores de Capot","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","5","","Stock inicial: 10","Y","N","136","$5.96","$5.96","7F15BB80 , UNQS0072 , UNQe0072","V123456789 Sano y fresco","BC3Z-16C826-B","","AMORTIGUADOR CAPOT FORD F250/F350 IZQUIERDO [BC3Z-16C826-B]","AMORTIGUADOR CAPOT FORD F250/F350 IZQUIERDO BC3Z-16C826-B","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","7","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=BC3Z-16C826-B&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=BC3Z-16C826-B&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=BC3Z-16C826-B&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=BC3Z-16C826-B&code=Code128","","7F15BB80 , UNQS0072 , UNQe0072","Y",
"68950-0D020","AMORTIGUADOR COMPUERTA MALETA TOYOTA YARIS","AMORTIGUADOR COMPUERTA MALETA TOYOTA YARIS 06=>14","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","Stock inicial: 4","Y","Y","1","$6.51","$6.51","unf0021 , UNQS0034 , UNQe0034","V123456789 Sano y fresco","68950-0D020","Stockout","AMORTIGUADOR COMPUERTA MALETA TOYOTA YARIS [68950-0D020]","AMORTIGUADOR COMPUERTA MALETA TOYOTA YARIS 68950-0D020","5/21/2024 12:00:00 AM","Administrador","1","$6.51","","25%","N","N","","6/24/2025 2:23:02 PM","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=68950-0D020&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=68950-0D020&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=68950-0D020&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=68950-0D020&code=Code128","","unf0021 , UNQS0034 , UNQe0034","Y",
"95962016","AMORTIGUADOR COMPUERTA MALETA CHEVROLET SPARK GT","AMORTIGUADOR COMPUERTA MALETA CHEVROLET SPARK GT 13=>18 DER/IZQ","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","10","","Stock inicial: 22","Y","N","32","$5.42","$5.42","1D5A248F , UNQS0003 , UNQe0003","V123456789 Sano y fresco","95962016","","AMORTIGUADOR COMPUERTA MALETA CHEVROLET SPARK GT [95962016]","AMORTIGUADOR COMPUERTA MALETA CHEVROLET SPARK GT 95962016","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","13","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=95962016&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=95962016&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=95962016&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=95962016&code=Code128","","1D5A248F , UNQS0003 , UNQe0003","Y",
"46457205","AMORTIGUADOR COMPUERTA MALETA FIAT PALIO","AMORTIGUADOR COMPUERTA MALETA FIAT PALIO TODOS DER/IZQ (49 CM ABIERTO)","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","4","","Stock inicial: 121","Y","N","105","$14.02","$7.05","unf0022 , UNQS0035 , UNQe0035 , fc775900","V123456789 Sano y fresco","46457205","","AMORTIGUADOR COMPUERTA MALETA FIAT PALIO [46457205]","AMORTIGUADOR COMPUERTA MALETA FIAT PALIO 46457205","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","5","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=46457205&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=46457205&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=46457205&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=46457205&code=Code128","","unf0022 , UNQS0035 , UNQe0035 , fc775900","Y",
"51734562","AMORTIGUADOR COMPUERTA MALETA FIAT WEEKEND","AMORTIGUADOR COMPUERTA MALETA FIAT WEEKENG 04=>17 DER/IZQ (55 CM ABIERTO)","Carroceria","Amortiguadores de Compuerta","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","8","","Stock inicial: 68","Y","N","176","$5.42","$5.42","unf0019 , UNQS0032 , UNQe0032","V123456789 Sano y fresco","51734562","","AMORTIGUADOR COMPUERTA MALETA FIAT WEEKEND [51734562]","AMORTIGUADOR COMPUERTA MALETA FIAT WEEKEND 51734562","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","10","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=51734562&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=51734562&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=51734562&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=51734562&code=Code128","","unf0019 , UNQS0032 , UNQe0032","Y",
"BC3Z-16C826-A","AMORTIGUADOR CAPOT FORD F250/F350 DERECHO","AMORTIGUADOR CAPOT FORD F250/F350 SUPERDUTY 11=>16 DERECHO RH","Carroceria","Amortiguadores de Capot","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","Stock inicial: 10","Y","N","21","$5.42","$5.42","779CF338 , UNQS0071 , UNQe0071","V123456789 Sano y fresco","BC3Z-16C826-A","","AMORTIGUADOR CAPOT FORD F250/F350 DERECHO [BC3Z-16C826-A]","AMORTIGUADOR CAPOT FORD F250/F350 DERECHO BC3Z-16C826-A","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=BC3Z-16C826-A&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=BC3Z-16C826-A&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=BC3Z-16C826-A&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=BC3Z-16C826-A&code=Code128","","779CF338 , UNQS0071 , UNQe0071","Y",
"8483","ALTERNADOR CHEVROLET AVEO 1.6","ALTERNADOR CHEVROLER AVEO 1.6","Electrico","Alternadores","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","Stock inicial: 1","Y","N","346","$8.15","$8.15","unf0024 , UNQS0037 , UNQe0037","V123456789 Sano y fresco","8483","","ALTERNADOR CHEVROLET AVEO 1.6 [8483]","ALTERNADOR CHEVROLET AVEO 1.6 8483","5/21/2024 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=8483&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8483&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8483&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=8483&code=Code128","","unf0024 , UNQS0037 , UNQe0037","Y",
"CO404018","Varilla Movible Palanca Cambio","VARILLA MOVIBLE INFERIOR PALANCA CAMBIO FIAT UNO 90=>","Repuestos Automotores","Transmision","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","VACIO.","Y","N","176","$7.05","$7.05","8858BE98 , UNQS0073 , UNQe0073","V123456789 Sano y fresco","CO404018","","Varilla Movible Palanca Cambio [CO404018]","Varilla Movible Palanca Cambio CO404018","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=CO404018&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=CO404018&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=CO404018&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=CO404018&code=Code128","","8858BE98 , UNQS0073 , UNQe0073","Y",
"CO404019","Varilla Fija Palanca Cambio","VARILLA FIJA INFERIOR PALANCA CAMBIO FIAT UNO <=90","Repuestos Automotores","Transmision","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","VACIO.","Y","N","220","$7.60","$7.60","8D656EE1 , UNQS0074 , UNQe0074","V123456789 Sano y fresco","CO404019","","Varilla Fija Palanca Cambio [CO404019]","Varilla Fija Palanca Cambio CO404019","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=CO404019&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=CO404019&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=CO404019&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=CO404019&code=Code128","","8D656EE1 , UNQS0074 , UNQe0074","Y",
"96177604","Valvula Temperatura Tablero","VALVULA TEMPERATURA TABLERO AVEO/OPTRA/CORSA/MATIZ/CIELO","Repuestos Automotores","Sistema Enfriamiento","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","VACIO.","Y","N","3","$7.33","$7.33","3CE5E452 , unf0025 , UNQS0004 , UNQS0038 , UNQe0004 , UNQe0038","V123456789 Sano y fresco","96177604","","Valvula Temperatura Tablero [96177604]","Valvula Temperatura Tablero 96177604","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","Y","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=96177604&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96177604&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96177604&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=96177604&code=Code128","","3CE5E452 , unf0025 , UNQS0004 , UNQS0038 , UNQe0004 , UNQe0038","Y",
"89422-35010","Valvula Temperatura Toyota","VALVULA TEMPERATURA TOYOTA COROLLA/YARIS/MERU/RUNNER/HILUX (2 PINES GRIS)","Repuestos Automotores","Sistema Enfriamiento","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","5","","VACIO.","Y","N","7","$6.51","$6.51","unf0030 , UNQS0043 , UNQe0043","V123456789 Sano y fresco","89422-35010","","Valvula Temperatura Toyota [89422-35010]","Valvula Temperatura Toyota 89422-35010","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","Y","N","","","7","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=89422-35010&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-35010&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-35010&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-35010&code=Code128","","unf0030 , UNQS0043 , UNQe0043","Y",
"89412-16010","Valvula Temperatura Toyota","VALVULA TEMPERATURA TOYOTA COROLLA BABY CAMRY/ARAYA 3PINES (GRIS)(GRUESO)","Repuestos Automotores","Sistema Enfriamiento","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","4","","VACIO.","Y","Y","2","$44.69","$44.69","unf0035 , UNQS0048 , UNQe0048","V123456789 Sano y fresco","89412-16010","Stockout","Valvula Temperatura Toyota [89412-16010]","Valvula Temperatura Toyota 89412-16010","6/17/2025 12:00:00 AM","Administrador","3","$134.07","","25%","N","N","","6/24/2025 2:58:45 PM","5","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=89412-16010&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89412-16010&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89412-16010&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89412-16010&code=Code128","","unf0035 , UNQS0048 , UNQe0048","Y",
"39230-26600","Valvula Temperatura Hyundai","VALVULA TEMPERATURA HYUNDAI GETZ/ELENTRA 1.6 BULBO (CON CABLE CONECTOR)","Repuestos Automotores","Sistema Enfriamiento","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","VACIO.","Y","N","52","$8.69","$8.69","unf0034 , UNQS0047 , UNQe0047","V123456789 Sano y fresco","39230-26600","","Valvula Temperatura Hyundai [39230-26600]","Valvula Temperatura Hyundai 39230-26600","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=39230-26600&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=39230-26600&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=39230-26600&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=39230-26600&code=Code128","","unf0034 , UNQS0047 , UNQe0047","Y",
"0401020K","Varilla Nivel Aceite Logan","VARILLA NIVEL ACEITE LOGAN/SANDERO (8200678386)","Repuestos Automotores","Motor","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","VACIO.","Y","N","347","$7.71","$5.42","unf0028 , UNQS0041 , UNQe0041 , bfc818e8","V123456789 Sano y fresco","0401020K","","Varilla Nivel Aceite Logan [0401020K]","Varilla Nivel Aceite Logan 0401020K","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=0401020K&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020K&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020K&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020K&code=Code128","","unf0028 , UNQS0041 , UNQe0041 , bfc818e8","Y",
"89422-16016","Valvula Temperatura Toyota","VALVULA TEMPERATURA TOYOTA YARIS 3PINES (NEGRA) (DELGADO)","Repuestos Automotores","Sistema Enfriamiento","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","VACIO.","Y","N","28","$7.60","$7.60","unf0032 , UNQS0045 , UNQe0045","V123456789 Sano y fresco","89422-16016","","Valvula Temperatura Toyota [89422-16016]","Valvula Temperatura Toyota 89422-16016","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=89422-16016&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-16016&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-16016&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-16016&code=Code128","","unf0032 , UNQS0045 , UNQe0045","Y",
"0401020L","Varilla Nivel Aceite Megan","VARILLA NIVEL ACEITE MEGAN/CLIO2/SYMBOL/SCENIC16V CORTA (7700107188)","Repuestos Automotores","Motor","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","4","","VACIO.","Y","N","433","$4.87","$16.96","unf0027 , UNQS0040 , UNQe0040 , 918e2cc6 , 7ca2e239","V123456789 Sano y fresco","0401020L","","Varilla Nivel Aceite Megan [0401020L]","Varilla Nivel Aceite Megan 0401020L","6/17/2025 12:00:00 AM","Administrador","0","$0.00","4818d113","25%","N","N","","","5","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=0401020L&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020L&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020L&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020L&code=Code128","4818d113","unf0027 , UNQS0040 , UNQe0040 , 918e2cc6 , 7ca2e239","Y",
"0401020M","Varilla Nivel Aceite Twimgo","VARILLA NIVEL ACEITE TWIMGO/16 VALVULAS (8200255423)","Repuestos Automotores","Motor","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","1","","VACIO.","Y","N","101","$7.48","$5.96","unf0029 , UNQS0042 , UNQe0042 , a4816761","V123456789 Sano y fresco","0401020M","","Varilla Nivel Aceite Twimgo [0401020M]","Varilla Nivel Aceite Twimgo 0401020M","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","2","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=0401020M&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020M&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020M&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=0401020M&code=Code128","","unf0029 , UNQS0042 , UNQe0042 , a4816761","Y",
"89422-33030","Valvula Temperatura Toyota","VALVULA TEMPERATURA TOYOTA FORTUNER/HILUX/MERU (2 PINES)","Repuestos Automotores","Sistema Enfriamiento","UND","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","2","","VACIO.","Y","N","142","$8.15","$8.15","unf0033 , UNQS0046 , UNQe0046","V123456789 Sano y fresco","89422-33030","","Valvula Temperatura Toyota [89422-33030]","Valvula Temperatura Toyota 89422-33030","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","3","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=89422-33030&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-33030&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-33030&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=89422-33030&code=Code128","","unf0033 , UNQS0046 , UNQe0046","Y",
"481H-1007011BA-JS","Valvulas Admision Chery","VALVULAS ADMISION CHERY ORINOCO/TIGGO 2.0  (8 UNIDADES)","Repuestos Automotores","Motor","KIT","https://gammalielanalytics.com/img/icons/default-items.png","","PROV0001| Gammaliel Analytics| Telf.: +584128672845| email: consulting@gammalielanalytics.com","7","","VACIO.","Y","N","26","$7.05","$7.05","unf0031 , UNQS0044 , UNQe0044","V123456789 Sano y fresco","481H-1007011BA-JS","","Valvulas Admision Chery [481H-1007011BA-JS]","Valvulas Admision Chery 481H-1007011BA-JS","6/17/2025 12:00:00 AM","Administrador","0","$0.00","","25%","N","N","","","9","","https://api-gammaliel-bar-qr-code.onrender.com/generate-qr?data=481H-1007011BA-JS&color=%23000000&backcolor=%23ffffff&size=medium","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=481H-1007011BA-JS&code=Code128","","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=481H-1007011BA-JS&code=Code128","https://api-gammaliel-bar-qr-code.onrender.com/generate-barcode/?data=481H-1007011BA-JS&code=Code128","","unf0031 , UNQS0044 , UNQe0044","Y",
